ts	host_rss_kb	renderer_rss_kb	backend_rss_kb
19:25:54	657136	274424	232052
19:26:24	657140	274556	232056
19:26:54	657140	274672	236532
19:27:25	811200	469104	241892
19:27:55	867732	403060	249104
19:28:25	865684	385928	249104
19:28:55	865748	386096	249128
19:29:25	867676	405608	249128
19:29:55	867740	405724	249148
19:30:25	865692	389532	249148
19:30:55	898812	503568	249188
19:31:25	879368	397684	249164
19:31:55	902836	391956	252932
19:32:25	902836	394468	252932
19:32:55	909040	443624	252944
19:33:26	911040	541520	255764
19:33:56	906944	392016	255768
19:34:26	905240	381800	255792
19:34:56	912572	402196	255924
19:35:26	916652	484868	255892
19:35:56	918960	432200	256288
19:36:26	917136	577080	256260
19:36:56	918084	428356	256416
19:37:26	919644	458512	256428
DONE
